marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
paso,5,0.900000,2,tibia,-0.061270331
paso,5,0.900000,3,coxa,0.022351201
paso,5,0.900000,3,femur,-0.009321433
paso,5,0.900000,3,tibia,0.047081194
paso,6,1.080000,0,coxa,-0.044403647
paso,6,1.080000,0,femur,-0.263649055
paso,6,1.080000,0,tibia,0.372327354
paso,6,1.080000,1,coxa,0.033351430
paso,6,1.080000,1,femur,-0.022613715
paso,6,1.080000,1,tibia,0.071223282
paso,6,1.080000,2,coxa,-0.032941862
paso,6,1.080000,2,femur,0.064975333
paso,6,1.080000,2,tibia,-0.086700704
paso,6,1.080000,3,coxa,0.033351430
paso,6,1.080000,3,femur,-0.023960379
paso,6,1.080000,3,tibia,0.072887377
paso,7,1.260000,0,coxa,-0.039016074
paso,7,1.260000,0,femur,0.051551757
paso,7,1.260000,0,tibia,-0.093936269
paso,7,1.260000,1,coxa,0.039185747
paso,7,1.260000,1,femur,-0.031555899
paso,7,1.260000,1,tibia,0.087044216
paso,7,1.260000,2,coxa,-0.039016074
paso,7,1.260000,2,femur,0.071532717
paso,7,1.260000,2,tibia,-0.098316628
paso,7,1.260000,3,coxa,0.039185747
paso,7,1.260000,3,femur,-0.032978571
paso,7,1.260000,3,tibia,0.088701924
paso,8,1.440000,0,coxa,-0.039185747
paso,8,1.440000,0,femur,0.070913863
paso,8,1.440000,0,tibia,-0.097915166
paso,8,1.440000,1,coxa,0.039016074
paso,8,1.440000,1,femur,-0.033195329
paso,8,1.440000,1,tibia,0.089797121
paso,8,1.440000,2,coxa,-0.039185747
paso,8,1.440000,2,femur,0.069996475
paso,8,1.440000,2,tibia,-0.095289325
paso,8,1.440000,3,coxa,0.049913308
paso,8,1.440000,3,femur,0.123877492
paso,8,1.440000,3,tibia,-0.323949451
paso,9,1.620000,0,coxa,-0.033351430
paso,9,1.620000,0,femur,0.062081960
paso,9,1.620000,0,tibia,-0.081622468
paso,9,1.620000,1,coxa,0.032941862
paso,9,1.620000,1,femur,-0.026676759
paso,9,1.620000,1,tibia,0.077996187
paso,9,1.620000,2,coxa,-0.033351430
paso,9,1.620000,2,femur,0.061193635
paso,9,1.620000,2,tibia,-0.079193419
paso,9,1.620000,3,coxa,0.041376195
paso,9,1.620000,3,femur,0.043440508
paso,9,1.620000,3,tibia,-0.183146274
paso,10,1.800000,0,coxa,-0.022351201
paso,10,1.800000,0,femur,0.047710359
paso,10,1.800000,0,tibia,-0.055330916
paso,10,1.800000,1,coxa,0.021941715
paso,10,1.800000,1,femur,-0.012493591
paso,10,1.800000,1,tibia,0.052563461
paso,10,1.800000,2,coxa,-0.022351201
paso,10,1.800000,2,femur,0.046802487
paso,10,1.800000,2,tibia,-0.053126387
paso,10,1.800000,3,coxa,0.026706696
paso,10,1.800000,3,femur,-0.020912070
paso,10,1.800000,3,tibia,-0.069818425
paso,11,1.980000,0,coxa,-0.007861244
paso,11,1.980000,0,femur,0.029903187
paso,11,1.980000,0,tibia,-0.022913841
paso,11,1.980000,1,coxa,0.007691653
paso,11,1.980000,1,femur,0.007244583
paso,11,1.980000,1,tibia,0.017305760
paso,11,1.980000,2,coxa,-0.007861244
paso,11,1.980000,2,femur,0.028931646
paso,11,1.980000,2,tibia,-0.020930623
paso,11,1.980000,3,coxa,0.007956777
paso,11,1.980000,3,femur,-0.076780946
paso,11,1.980000,3,tibia,0.029728508
paso,12,2.160000,0,coxa,0.007861244
paso,12,2.160000,0,femur,0.010921251
paso,12,2.160000,0,tibia,0.011501808
paso,12,2.160000,1,coxa,-0.007691653
paso,12,2.160000,1,femur,0.029051673
paso,12,2.160000,1,tibia,-0.021521513
paso,12,2.160000,2,coxa,0.007861244
paso,12,2.160000,2,femur,0.009858496
paso,12,2.160000,2,tibia,0.013286688
paso,12,2.160000,3,coxa,-0.012092527
paso,12,2.160000,3,femur,-0.130855576
paso,12,2.160000,3,tibia,0.127524187
paso,13,2.340000,0,coxa,0.022351201
paso,13,2.340000,0,femur,-0.006931884
paso,13,2.340000,0,tibia,0.043745519
paso,13,2.340000,1,coxa,-0.021941715
paso,13,2.340000,1,femur,0.048888210
paso,13,2.340000,1,tibia,-0.056700357
paso,13,2.340000,2,coxa,0.022351201
paso,13,2.340000,2,femur,-0.008091389
paso,13,2.340000,2,tibia,0.045368626
paso,13,2.340000,3,coxa,-0.030440728
paso,13,2.340000,3,femur,-0.190201811
paso,13,2.340000,3,tibia,0.236360541
paso,14,2.520000,0,coxa,0.033351430
paso,14,2.520000,0,femur,-0.021372840
paso,14,2.520000,0,tibia,0.069713410
paso,14,2.520000,1,coxa,-0.032941862
paso,14,2.520000,1,femur,0.063247770
paso,14,2.520000,1,tibia,-0.082005370
paso,14,2.520000,2,coxa,0.033351430
paso,14,2.520000,2,femur,-0.022613715
paso,14,2.520000,2,tibia,0.071223282
paso,14,2.520000,3,coxa,-0.044403647
paso,14,2.520000,3,femur,-0.263649055
paso,14,2.520000,3,tibia,0.372327354
paso,15,2.700000,0,coxa,0.039185747
paso,15,2.700000,0,femur,-0.030263818
paso,15,2.700000,0,tibia,0.085586615
paso,15,2.700000,1,coxa,-0.039016074
