x_m,y_m,z_m,sigma_min_m_rad,condition_number
9.710492827105460245e-02,1.208258395488795572e-01,1.721774226901102295e-02,4.693571231618677564e-02,3.744456595927424747e+00
1.046789024976011451e-01,1.205567330945533366e-01,1.682439045538982464e-02,4.748931517378390116e-02,3.819161128196255639e+00
1.122129702645402599e-01,1.200423030815193776e-01,1.607245019028275684e-02,4.780410113484953594e-02,3.910082238654174702e+00
1.196822289226505687e-01,1.192842498754446423e-01,1.496440689129375362e-02,4.788023826221126517e-02,4.017803352352998125e+00
1.270619900387959245e-01,1.182850790992762413e-01,1.350392301732952077e-02,4.771737680828679051e-02,4.143605391081745637e+00
1.343278609995705308e-01,1.170480933513078359e-01,1.169582596293074900e-02,4.731404959853422604e-02,4.289514343280544040e+00
1.414558256371588607e-01,1.155773812889720614e-01,9.546092102095650456e-03,4.666695001332839959e-02,4.458470275583771070e+00
1.484223236109157851e-01,1.138778041144411085e-01,7.061827034337310460e-03,4.577005014525604293e-02,4.654637244563749832e+00
1.552043282822831716e-01,1.119549795067047715e-01,4.251242098267077330e-03,4.461352087498551833e-02,4.883915761804266786e+00
1.617794228256399514e-01,1.098152630532361201e-01,1.123627230335606797e-03,4.318243482350129364e-02,5.154778080878680058e+00
1.681258743235135855e-01,1.074657272426192967e-01,-2.310679741557859768e-03,4.145530003187897911e-02,5.479647299160626872e+00
1.742227056012435882e-01,1.049141380875761032e-01,-6.040327268092948731e-03,3.940263552331215585e-02,5.877231348569071478e+00
1.800497645636579824e-01,1.021689294556599736e-01,-1.005298759924856677e-02,3.698612161821285965e-02,6.376608218588732058e+00
1.855877908045827085e-01,9.923917519246339136e-02,-1.433539753169781744e-02,3.415934744842712839e-02,7.024710216417733299e+00
1.908184792690166831e-01,9.613455912948051796e-02,-1.887340224819343548e-02,3.087160530615944490e-02,7.900959344714053145e+00
1.957245407575465557e-01,9.286534307576001235e-02,-2.365200210403937270e-02,2.707584156878917528e-02,9.148738202613458270e+00
2.002897590730146893e-01,8.944233289914553520e-02,-2.865540220600385629e-02,2.273987470470823641e-02,1.105280875779507177e+01
2.044990446205507129e-01,8.587684280921764612e-02,-3.386706461979860361e-02,1.785679743730679211e-02,1.426913094740450738e+01
2.083384842838002515e-01,8.218065795999386636e-02,-3.926976303356047998e-02,1.244919274311652620e-02,2.073153976503436269e+01
2.117953874124933744e-01,7.836599549599761183e-02,-4.484563969665476130e-02,6.565167142975354871e-03,3.978666421192810532e+01
2.148583277693477400e-01,7.444546417045186382e-02,-5.057626444559773504e-02,2.698159817094850435e-04,9.789758518535912799e+02
2.175171812976582075e-01,7.043202266907351572e-02,-5.644269562199750317e-02,6.361105420746106937e-03,4.195804997903548639e+01
2.197631595847379105e-01,6.633893677722199622e-02,-6.242554268115943494e-02,1.323559470996896539e-02,2.035963761212651235e+01
2.215888389106029366e-01,6.217973553197934933e-02,-6.850503028441280728e-02,2.018731040063599658e-02,1.346675235761113498e+01
2.229881847858845578e-01,5.796816650409429561e-02,-7.466106366331205779e-02,2.639543037644282927e-02,1.038261817006500287e+01
2.239565718978632769e-01,5.371815035759816559e-02,-8.087329503966195210e-02,2.749114963120181249e-02,1.004169838631261946e+01
2.244907993986962613e-01,4.944373483728906754e-02,-8.712119088182548876e-02,2.529165546082580776e-02,1.098653017096759044e+01
2.245891014853048095e-01,4.515904833617079284e-02,-9.338409977501031800e-02,2.267786986735742180e-02,1.232392926897997398e+01
2.242511532359525717e-01,4.087825319632227422e-02,-9.964132068119854746e-02,1.997486567473823887e-02,1.406239381058781568e+01
2.234780716842221238e-01,3.661549889755356946e-02,-1.058721713630985106e-01,1.724110640166597735e-02,1.636248606347167822e+01
